Sample,variety,Genus,Abundance
KarstCh6,white,Unclassified Cordycipitaceae,0
KarstCh6,white,Unclassified Eurotiales,0
KarstCh6,white,Unclassified Helotiales,0.16722408026755853
KarstCh6,white,Unclassified Hypocreales,0.459866220735786
KarstCh6,white,Unclassified Hysteriaceae,0
KarstCh6,white,Unclassified Inocybaceae,0
KarstCh6,white,Unclassified Leotiomycetes,1.3795986622073577
KarstCh6,white,Unclassified Microascaceae,0
KarstCh6,white,Unclassified Mortierellaceae,0.6688963210702341
KarstCh6,white,Unclassified Nectriaceae,0.5434782608695652
KarstCh6,white,Unclassified Phanerochaetaceae,1.4214046822742474
KarstCh6,white,Unclassified Pleosporales,1.5886287625418059
KarstCh6,white,Unclassified Russulaceae,0
KarstCh6,white,Unclassified Saccharomycetales,0
KarstCh6,white,Unclassified Sordariomycetes,0
KarstCh6,white,Unclassified Teloschistaceae,1.797658862876254
KarstCh6,white,Unclassified Xylariaceae,0
KarstCh7,white,< 1%,30.449533502968617
KarstCh7,white,Acremonium,2.247667514843087
KarstCh7,white,Arthrocladium,0
KarstCh7,white,Aspergillus,0
KarstCh7,white,Beauveria,0.1272264631043257
KarstCh7,white,Bjerkandera,1.4843087362171332
KarstCh7,white,Boothiomyces,0
KarstCh7,white,Cadophora,0.9329940627650551
KarstCh7,white,Cerrena,0
KarstCh7,white,Chaetomium,1.5267175572519083
KarstCh7,white,Cladosporium,4.6225614927905
KarstCh7,white,Clavaria,1.1874469889737065
KarstCh7,white,Clavulina,5.597964376590331
KarstCh7,white,Conlarium,0
KarstCh7,white,Cylindrium,0
KarstCh7,white,Delicatula,0
KarstCh7,white,Funalia,0
KarstCh7,white,Fusarium,1.9508057675996606
KarstCh7,white,Hygrocybe,1.9508057675996608
KarstCh7,white,Inocybe,0.33927056827820185
KarstCh7,white,Lactifluus,2.1628498727735366
KarstCh7,white,Lentinus,0
KarstCh7,white,Leotia,1.2298558100084818
KarstCh7,white,Malbranchea,0
KarstCh7,white,Metarhizium,3.7743850720949954
KarstCh7,white,Mortierella,5.046649703138253
KarstCh7,white,Mycena,0.16963528413910092
KarstCh7,white,Nigrospora,0.08481764206955046
KarstCh7,white,Penicillium,1.484308736217133
KarstCh7,white,Plectosphaerella,2.629346904156064
KarstCh7,white,Polyscytalum,0
KarstCh7,white,Pseudoveronaea,1.9083969465648856
KarstCh7,white,Russula,0.6785411365564037
KarstCh7,white,Sarcinomyces,0.21204410517387615
KarstCh7,white,Sebacina,2.247667514843087
KarstCh7,white,Seychellomyces,1.4843087362171332
KarstCh7,white,Sphaceloma,0
KarstCh7,white,Sphaerosporella,0.21204410517387615
KarstCh7,white,Trechispora,0.8905852417302799
KarstCh7,white,Trichoderma,0.6785411365564037
KarstCh7,white,Trichoglossum,2.883799830364716
KarstCh7,white,Tuber,1.484308736217133
KarstCh7,white,Unclassified Agaricaceae,0
KarstCh7,white,Unclassified Agaricales,0.6785411365564037
KarstCh7,white,Unclassified Agaricomycetes,0.5089058524173028
KarstCh7,white,Unclassified Ascomycota,0.6361323155216285
KarstCh7,white,Unclassified Basidiomycota,3.2654792196776925
KarstCh7,white,Unclassified Capnodiales,0
KarstCh7,white,Unclassified Chaetothyriales,0.4240882103477523
KarstCh7,white,Unclassified Cordycipitaceae,0
KarstCh7,white,Unclassified Eurotiales,0
KarstCh7,white,Unclassified Helotiales,0.33927056827820185
KarstCh7,white,Unclassified Hypocreales,0.4664970313825275
KarstCh7,white,Unclassified Hysteriaceae,0
