# Constructed from biom file
#OTU ID	KarstCh1	KarstCh2	KarstCh3	KarstCh4	KarstCh5	KarstCh6	KarstCh7	KarstCh8
fd057cf435f43fc89ef860d515403d7d	0.0	0.0	0.0	0.0	193.0	0.0	0.0	0.0
02313a9126d1181abdff380c95b2e7dd	0.0	134.0	0.0	0.0	58.0	0.0	0.0	0.0
4d7569a4ce22ed5e8bce2cda23098174	32.0	41.0	83.0	35.0	0.0	0.0	0.0	0.0
3bfc0ddc19a919aba172f774ad47c941	32.0	48.0	69.0	41.0	0.0	0.0	0.0	0.0
7f1b3c5d6ff04cbe57b4214b7f965c8e	0.0	0.0	0.0	0.0	187.0	0.0	0.0	0.0
63defc2de7c339857e6c80071133b6ac	34.0	45.0	66.0	33.0	0.0	0.0	7.0	0.0
85b39485a0f6bc27775e4ad7930487e0	0.0	0.0	0.0	0.0	184.0	0.0	0.0	0.0
d4467b5d4c8421322771c8d45162b21b	0.0	38.0	22.0	72.0	51.0	0.0	0.0	0.0
f6983c725e698ea09f6f876cc2ff2246	0.0	179.0	0.0	0.0	0.0	0.0	0.0	0.0
44075b0e67b12f060373b2f02cb210a2	13.0	40.0	41.0	5.0	0.0	3.0	35.0	32.0
1e00442e1289bf455dd1adb5cf5a37a7	33.0	51.0	56.0	26.0	0.0	0.0	0.0	0.0
eb7cc3b2423d98915b9a448655832790	0.0	150.0	0.0	0.0	0.0	0.0	0.0	0.0
43dc1dc9aaf27897a7b35b844929cca0	0.0	147.0	3.0	0.0	0.0	0.0	0.0	0.0
6cfb1e6d5ca2bbe1a1b5a07020e4f6ec	43.0	36.0	40.0	29.0	0.0	0.0	0.0	0.0
707b9d66e0f6af70b160be0944c71acb	39.0	28.0	49.0	32.0	0.0	0.0	0.0	0.0
256fee72775055b82f1f3286ee86eb79	17.0	27.0	54.0	21.0	0.0	0.0	29.0	0.0
81d3dcfc54248f44259ac5cbfe83a00a	12.0	20.0	17.0	14.0	12.0	24.0	24.0	25.0
0be440f7808a6f06d442f25373eab574	0.0	17.0	0.0	0.0	129.0	0.0	0.0	0.0
94f1eec479e9a1ef85c4121d9ce176fb	7.0	0.0	0.0	4.0	28.0	43.0	29.0	33.0
30719d5838fe88acbbd6e5c3abc70698	0.0	46.0	23.0	0.0	72.0	0.0	0.0	0.0
e0df47e7bdc0bf0948a6c1976cfab786	0.0	0.0	0.0	0.0	28.0	22.0	46.0	44.0
3eb9534baaf9476e695512005526c88c	19.0	0.0	33.0	26.0	17.0	12.0	18.0	14.0
64fb613f4cb0955c54b0512dd7701232	17.0	22.0	22.0	17.0	15.0	15.0	18.0	13.0
17db530ea484c0d5d12c3d68bd8cc400	0.0	0.0	0.0	0.0	34.0	32.0	51.0	21.0
1b3753029acde9bf8c79555f4589fcb0	14.0	17.0	15.0	14.0	14.0	16.0	22.0	22.0
7c88cd7c08970e01fe906706a90b5502	0.0	133.0	0.0	0.0	0.0	0.0	0.0	0.0
4891ff48fa42d17561c82f4336c0c1ef	41.0	33.0	29.0	0.0	28.0	0.0	0.0	0.0
a91a1367ccb966a92668da14259bd977	0.0	126.0	0.0	0.0	0.0	0.0	0.0	0.0
57be71ab9bdd748831a5b86a99f56d8e	16.0	41.0	44.0	24.0	0.0	0.0	0.0	0.0
